tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
"57832","443",,
"443","57832",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"47032","443",,
"443","47032",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"58540","22",,
"22","58540",,
"58540","22",,
"58540","22",,
"22","58540",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"58540","22",,
"22","58540",,
"22","58540",,
"58540","22",,
"58540","22",,
"22","58540",,
"58540","22",,
"22","33448",,
"33448","22",,
"58540","22",,
"58540","22",,
"22","58540",,
"22","58540",,
"58540","22",,
"22","33448",,
"33448","22",,
"58540","22",,
"22","58540",,
"58540","22",,
"22","58540",,
"58540","22",,
"22","33448",,
"33448","22",,
"58540","22",,
"22","58540",,
"58540","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"11176","80",,
"80","11176",,
"11176","80",,
"22","33448",,
"33448","22",,
"80","33962",,
"33962","80",,
"80","33962",,
"22","33448",,
"33448","22",,
"39640","80",,
"80","39640",,
"39642","80",,
"80","39642",,
"6667","48986",,
"48986","6667",,
"22","33448",,
"33448","22",,
"6667","48986",,
"39640","80",,
"39642","80",,
"39642","80",,
"80","39642",,
"80","39642",,
"39642","80",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"443","57832",,
"57832","443",,
"443","57832",,
"443","57832",,
"57832","443",,
"57832","443",,
"57832","443",,
,,"37622","53"
,,"46943","53"
"443","57832",,
"443","57832",,
,,"53","37622"
,,"53","46943"
"41542","443",,
"443","41542",,
"41542","443",,
"41542","443",,
"443","41542",,
"443","41542",,
"41542","443",,
"41542","443",,
"443","41542",,
"443","41542",,
"41542","443",,
"41542","443",,
"41542","443",,
"443","41542",,
"443","41542",,
"443","41542",,
"22","33448",,
"33448","22",,
"41542","443",,
"443","41542",,
"41542","443",,
"48552","80",,
"80","48552",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"80","48552",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"39640","80",,
"39642","80",,
"80","39640",,
"80","39642",,
"39640","80",,
"39642","80",,
"33448","22",,
,,,
,,,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"80","48552",,
"47032","443",,
"443","47032",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"80","47290",,
"47290","80",,
"22","33448",,
"33448","22",,
"47290","80",,
"80","47290",,
"80","47290",,
"22","33448",,
"33448","22",,
"47032","443",,
"443","47032",,
"22","33448",,
"33448","22",,
"443","47032",,
"47032","443",,
"443","47032",,
"47032","443",,
"443","47032",,
"47032","443",,
"443","47032",,
"47032","443",,
"47032","443",,
"443","47032",,
"443","47032",,
"47032","443",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"80","48552",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"50740","22",,
"22","50740",,
"50740","22",,
"22","50740",,
"50740","22",,
"22","33448",,
"33448","22",,
"50740","22",,
"22","50740",,
"22","50740",,
"50740","22",,
"50740","22",,
"22","33448",,
"33448","22",,
"22","50740",,
"50740","22",,
"50740","22",,
"41542","443",,
"443","41542",,
"22","50740",,
"50740","22",,
"50740","22",,
"22","50740",,
"50740","22",,
"22","33448",,
"33448","22",,
"50740","22",,
"22","50740",,
"50740","22",,
"80","48552",,
"50740","22",,
"22","50740",,
"50740","22",,
"22","50740",,
"50740","22",,
"50740","22",,
"22","50740",,
"50740","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"50740","22",,
"22","50740",,
"50740","22",,
"50740","22",,
"22","50740",,
"22","50740",,
"22","50740",,
"50740","22",,
"22","50740",,
"22","50740",,
"22","50740",,
"22","50740",,
"22","50740",,
"22","50740",,
"50740","22",,
"22","50740",,
"22","50740",,
"50740","22",,
"22","50740",,
"50740","22",,
"50740","22",,
"50740","22",,
"50740","22",,
"50740","22",,
"22","50740",,
"22","50740",,
"22","50740",,
"50740","22",,
"50740","22",,
"50740","22",,
"22","50740",,
"50740","22",,
"22","50740",,
"50740","22",,
"50740","22",,
"50740","22",,
"50740","22",,
"50740","22",,
"22","50740",,
"50740","22",,
"22","33448",,
"33448","22",,
"80","47290",,
"47290","80",,
"22","33448",,
"33448","22",,
"47290","80",,
"80","47290",,
"80","47290",,
"33448","22",,
"22","33448",,
"22","33448",,
"33448","22",,
"47032","443",,
"443","47032",,
"50740","22",,
"22","50740",,
"50740","22",,
"22","33448",,
"33448","22",,
"50740","22",,
"443","47032",,
"47032","443",,
"443","47032",,
"47032","443",,
"443","47032",,
"47032","443",,
"443","47032",,
"47032","443",,
"47032","443",,
"443","47032",,
"443","47032",,
"47032","443",,
"22","50740",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"60274","80",,
"80","60274",,
"60273","80",,
"80","60273",,
"60274","80",,
"60273","80",,
"60273","80",,
"80","60273",,
"80","60273",,
"60273","80",,
"60273","80",,
"60274","80",,
"80","60274",,
"22","33448",,
"33448","22",,
"80","60274",,
"80","60274",,
"80","60274",,
"80","60274",,
"80","60274",,
"80","60274",,
"80","60273",,
"80","60273",,
"80","60273",,
"80","60273",,
"80","60273",,
"80","60273",,
"60274","80",,
"80","60274",,
"60274","80",,
"80","60274",,
"60274","80",,
"80","60274",,
"80","60274",,
"60274","80",,
"80","60274",,
"60274","80",,
"80","60274",,
"60274","80",,
"80","60274",,
"60274","80",,
"60274","80",,
"60274","80",,
"60274","80",,
"60273","80",,
"80","60273",,
"60273","80",,
"80","60273",,
"60273","80",,
"80","60273",,
"60273","80",,
"80","60273",,
"60273","80",,
"80","60273",,
"80","60273",,
"60273","80",,
"80","60273",,
"60273","80",,
"60273","80",,
"60273","80",,
"60273","80",,
"60274","80",,
"60274","80",,
"60274","80",,
"60274","80",,
"60274","80",,
"60274","80",,
"60274","80",,
"60274","80",,
"60274","80",,
"60274","80",,
"60274","80",,
"60274","80",,
"60273","80",,
"60273","80",,
"60273","80",,
"60273","80",,
"60273","80",,
"60273","80",,
"60273","80",,
"60273","80",,
"60273","80",,
"60273","80",,
"60273","80",,
"60273","80",,
"60273","80",,
"80","60273",,
"60273","80",,
,,,
,,,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"80","60274",,
"60274","80",,
"80","60274",,
"22","33448",,
"33448","22",,
"80","60273",,
"60273","80",,
"80","60273",,
"22","33448",,
"33448","22",,
"41542","443",,
"443","41542",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"80","48552",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"50740","22",,
"22","50740",,
"22","33448",,
"33448","22",,
"47032","443",,
"443","47032",,
"22","33448",,
"33448","22",,
"50740","22",,
"22","50740",,
"22","50740",,
,,"123","123"
,,"123","123"
"50740","22",,
"22","33448",,
"33448","22",,
"50740","22",,
"50740","22",,
"22","50740",,
"22","50740",,
"50740","22",,
"50740","22",,
"22","50740",,
"50740","22",,
"50740","22",,
"22","50740",,
"50740","22",,
"22","33448",,
"33448","22",,
"22","50740",,
"50740","22",,
"50740","22",,
"22","50740",,
"22","50740",,
"50740","22",,
"50740","22",,
"50740","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","50740",,
"50740","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","50740",,
"50740","22",,
"22","33448",,
"33448","22",,
,,,
,,,
,,,
"22","33448",,
"33448","22",,
"22","50740",,
"50740","22",,
"22","33448",,
"33448","22",,
,,,
,,,
,,,
,,,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","50740",,
"50740","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","50740",,
"50740","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","50740",,
"50740","22",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"41542","443",,
"33448","22",,
"22","33448",,
"443","41542",,
"33448","22",,
"22","33448",,
"22","33448",,
"33448","22",,
"50740","22",,
"22","50740",,
"50740","22",,
"22","50740",,
"50740","22",,
"22","50740",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","50740",,
"50740","22",,
"80","47290",,
"47290","80",,
"22","33448",,
"33448","22",,
"47290","80",,
"80","47290",,
"80","47290",,
"22","33448",,
"33448","22",,
"47032","443",,
"22","50740",,
"50740","22",,
"443","47032",,
"443","47032",,
"47032","443",,
"443","47032",,
"47032","443",,
"443","47032",,
"47032","443",,
"47032","443",,
"443","47032",,
"443","47032",,
"22","33448",,
"33448","22",,
"47032","443",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","50740",,
"50740","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","50740",,
"50740","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","50740",,
"50740","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","50740",,
"50740","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","50740",,
"50740","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"80","47290",,
"47290","80",,
"47290","80",,
"80","47290",,
"80","47290",,
"22","50740",,
"50740","22",,
"22","33448",,
"33448","22",,
"55310","22",,
"22","55310",,
,,"123","123"
"55310","22",,
,,"123","123"
"22","55310",,
"55310","22",,
"55310","22",,
"22","55310",,
"22","55310",,
"55310","22",,
"22","33448",,
"33448","22",,
"55310","22",,
"22","55310",,
"55310","22",,
"47032","443",,
"443","47032",,
"443","47032",,
"47032","443",,
"443","47032",,
"47032","443",,
"443","47032",,
"47032","443",,
"55310","22",,
"47032","443",,
"443","47032",,
"443","47032",,
"22","55310",,
"55310","22",,
"47032","443",,
"55310","22",,
"22","55310",,
"22","33448",,
"55310","22",,
"33448","22",,
"55310","22",,
"22","55310",,
"22","50740",,
"50740","22",,
"22","55310",,
"55310","22",,
"22","33448",,
"33448","22",,
"55310","22",,
"22","55310",,
"22","55310",,
"55310","22",,
"22","55310",,
"55310","22",,
"55310","22",,
"22","55310",,
,,"123","123"
"55310","22",,
,,"123","123"
"22","33448",,
"33448","22",,
"55310","22",,
"22","33448",,
"33448","22",,
"22","55310",,
"55310","22",,
"22","55310",,
"55310","22",,
"22","55310",,
"22","55310",,
"22","55310",,
"22","55310",,
"22","55310",,
"22","55310",,
"22","55310",,
"55310","22",,
"22","55310",,
"55310","22",,
"22","55310",,
"22","55310",,
"55310","22",,
"55310","22",,
"55310","22",,
"22","55310",,
"55310","22",,
"55310","22",,
"22","55310",,
"22","55310",,
"55310","22",,
"55310","22",,
"55310","22",,
"22","55310",,
"22","55310",,
"55310","22",,
"55310","22",,
"55310","22",,
"55310","22",,
"55310","22",,
"22","50740",,
"50740","22",,
"22","55310",,
"55310","22",,
"41542","443",,
"55310","22",,
"33448","22",,
"33448","22",,
"22","33448",,
"22","55310",,
"55310","22",,
"443","41542",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"50740","22",,
"22","50740",,
,,"123","123"
,,"123","123"
"22","50740",,
"50740","22",,
"22","33448",,
"33448","22",,
"55310","22",,
"55310","22",,
"22","55310",,
"22","55310",,
"55310","22",,
"22","33448",,
"33448","22",,
,,,
,,,
"22","33448",,
"33448","22",,
"22","50740",,
"50740","22",,
"22","33448",,
"33448","22",,
,,"123","123"
,,"123","123"
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","50740",,
"50740","22",,
"22","33448",,
"33448","22",,
,,"123","123"
,,"123","123"
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","50740",,
"50740","22",,
"22","33448",,
"33448","22",,
"55310","22",,
"22","55310",,
"22","33448",,
,,"123","123"
"33448","22",,
,,"123","123"
"22","33448",,
"22","50740",,
"33448","22",,
"50740","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","50740",,
"50740","22",,
"22","33448",,
"33448","22",,
"55310","22",,
"22","55310",,
"22","55310",,
"55310","22",,
"55310","22",,
"22","55310",,
"55310","22",,
"57094","80",,
"80","57094",,
"55310","22",,
"22","55310",,
"55310","22",,
"55310","22",,
"55310","22",,
"22","55310",,
"22","55310",,
"55310","22",,
"22","33448",,
"33448","22",,
"55310","22",,
"22","55310",,
"55310","22",,
"55310","22",,
"22","55310",,
"55310","22",,
"22","33448",,
"33448","22",,
"22","50740",,
"50740","22",,
"80","57094",,
"22","33448",,
"33448","22",,
"55310","22",,
"22","55310",,
"55310","22",,
"22","33448",,
"33448","22",,
"55310","22",,
"22","55310",,
"55310","22",,
"55310","22",,
"22","55310",,
"55310","22",,
"55310","22",,
"22","55310",,
"55310","22",,
"22","33448",,
"33448","22",,
"22","50740",,
"50740","22",,
"55310","22",,
"22","55310",,
"55310","22",,
"55310","22",,
"22","55310",,
"55310","22",,
"22","33448",,
"33448","22",,
"80","57094",,
"47032","443",,
"55310","22",,
"22","55310",,
"55310","22",,
"443","47032",,
"22","33448",,
"33448","22",,
"55310","22",,
"55310","22",,
"22","55310",,
"22","55310",,
"55310","22",,
"55310","22",,
"22","55310",,
"22","50740",,
"50740","22",,
"55310","22",,
"22","33448",,
"33448","22",,
"55310","22",,
"22","55310",,
"55310","22",,
"22","33448",,
"33448","22",,
"55310","22",,
"22","55310",,
"55310","22",,
"22","33448",,
"33448","22",,
"41542","443",,
"443","41542",,
"22","50740",,
"50740","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","50740",,
"50740","22",,
"80","57094",,
"22","33448",,
"33448","22",,
"55310","22",,
"22","55310",,
"55310","22",,
"55310","22",,
"22","55310",,
"55310","22",,
"22","33448",,
"33448","22",,
"55310","22",,
"22","55310",,
"55310","22",,
"22","50740",,
"50740","22",,
"55310","22",,
"22","55310",,
"55310","22",,
"22","33448",,
"33448","22",,
"55310","22",,
"22","55310",,
"55310","22",,
"22","33448",,
"33448","22",,
"55310","22",,
"22","55310",,
"55310","22",,
"55310","22",,
"22","55310",,
"55310","22",,
"55310","22",,
"22","55310",,
"55310","22",,
"22","33448",,
"33448","22",,
"22","50740",,
"50740","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"22","50740",,
"50740","22",,
"22","33448",,
"33448","22",,
"22","33448",,
"33448","22",,
"55310","22",,
"22","55310",,
"55310","22",,
"55310","22",,
"22","55310",,
"55310","22",,
"22","50740",,
"50740","22",,
"55310","22",,
"22","55310",,
"55310","22",,
"22","33448",,
"33448","22",,
